Narrativa_IA;Mês;Nome Grupo;cc_nome;Realizado
Em Abr, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 38 referente ao item 'BOMBONIERE/CONFEITARIA' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Abr;( - ) CUSTOS VARIÁVEIS;BOMBONIERE/CONFEITARIA;-R$ 38
Em Out, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 80 referente ao item 'BOMBONIERE/CONFEITARIA' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Out;( - ) CUSTOS VARIÁVEIS;BOMBONIERE/CONFEITARIA;-R$ 80
Em Jul, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 140 referente ao item 'BOMBONIERE/CONFEITARIA' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Jul;( - ) CUSTOS VARIÁVEIS;BOMBONIERE/CONFEITARIA;-R$ 140
Em Jan, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 183 referente ao item 'BOMBONIERE/CONFEITARIA' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Jan;( - ) CUSTOS VARIÁVEIS;BOMBONIERE/CONFEITARIA;-R$ 183
Em Mar, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 188 referente ao item 'BOMBONIERE/CONFEITARIA' (Subcategoria: MERCEARIA/DEMAIS INSUMOS).;Mar;( - ) CUSTOS VARIÁVEIS;BOMBONIERE/CONFEITARIA;-R$ 188
Em Mai, o grupo '( - ) DEDUÇÕES SOBRE RECEITA' registrou um valor de -R$ 44 referente ao item 'MOTOBOY E APPS DE ENTREGA' (Subcategoria: DELIVERY - SERVIÇOS E TAXAS).;Mai;( - ) DEDUÇÕES SOBRE RECEITA;MOTOBOY E APPS DE ENTREGA;-R$ 44
Em Set, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 2.816 referente ao item 'MATERIA PRIMA' (Subcategoria: COMPRA DE MERCADORIAS).;Set;( - ) CUSTOS VARIÁVEIS;MATERIA PRIMA;-R$ 2.816
Em Dez, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 2.844 referente ao item 'MATERIA PRIMA' (Subcategoria: COMPRA DE MERCADORIAS).;Dez;( - ) CUSTOS VARIÁVEIS;MATERIA PRIMA;-R$ 2.844
Em Nov, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 2.861 referente ao item 'MATERIA PRIMA' (Subcategoria: COMPRA DE MERCADORIAS).;Nov;( - ) CUSTOS VARIÁVEIS;MATERIA PRIMA;-R$ 2.861
Em Out, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 3.795 referente ao item 'MATERIA PRIMA' (Subcategoria: COMPRA DE MERCADORIAS).;Out;( - ) CUSTOS VARIÁVEIS;MATERIA PRIMA;-R$ 3.795
Em Jan, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 8 referente ao item 'EMBALAGENS' (Subcategoria: COMPRA DE MERCADORIAS).;Jan;( - ) CUSTOS VARIÁVEIS;EMBALAGENS;-R$ 8
Em Out, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 13 referente ao item 'EMBALAGENS' (Subcategoria: COMPRA DE MERCADORIAS).;Out;( - ) CUSTOS VARIÁVEIS;EMBALAGENS;-R$ 13
Em Nov, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 514 referente ao item 'EMBALAGENS' (Subcategoria: COMPRA DE MERCADORIAS).;Nov;( - ) CUSTOS VARIÁVEIS;EMBALAGENS;-R$ 514
Em Jan, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 33 referente ao item 'USO E CONSUMO' (Subcategoria: COMPRA DE MERCADORIAS).;Jan;( - ) CUSTOS VARIÁVEIS;USO E CONSUMO;-R$ 33
Em Ago, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 33 referente ao item 'USO E CONSUMO' (Subcategoria: COMPRA DE MERCADORIAS).;Ago;( - ) CUSTOS VARIÁVEIS;USO E CONSUMO;-R$ 33
Em Jul, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 64 referente ao item 'USO E CONSUMO' (Subcategoria: COMPRA DE MERCADORIAS).;Jul;( - ) CUSTOS VARIÁVEIS;USO E CONSUMO;-R$ 64
Em Mai, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 69 referente ao item 'USO E CONSUMO' (Subcategoria: COMPRA DE MERCADORIAS).;Mai;( - ) CUSTOS VARIÁVEIS;USO E CONSUMO;-R$ 69
Em Dez, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 155 referente ao item 'USO E CONSUMO' (Subcategoria: COMPRA DE MERCADORIAS).;Dez;( - ) CUSTOS VARIÁVEIS;USO E CONSUMO;-R$ 155
Em Nov, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 247 referente ao item 'USO E CONSUMO' (Subcategoria: COMPRA DE MERCADORIAS).;Nov;( - ) CUSTOS VARIÁVEIS;USO E CONSUMO;-R$ 247
Em Set, o grupo '( - ) CUSTOS VARIÁVEIS' registrou um valor de -R$ 558 referente ao item 'USO E CONSUMO' (Subcategoria: COMPRA DE MERCADORIAS).;Set;( - ) CUSTOS VARIÁVEIS;USO E CONSUMO;-R$ 558
Em Ago, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 56.737 referente ao item 'SALARIOS E ORDENADOS'.;Ago;( - ) GASTOS COM PESSOAL;SALARIOS E ORDENADOS;-R$ 56.737
Em Jan, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 67.609 referente ao item 'SALARIOS E ORDENADOS'.;Jan;( - ) GASTOS COM PESSOAL;SALARIOS E ORDENADOS;-R$ 67.609
Em Fev, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 77.071 referente ao item 'SALARIOS E ORDENADOS'.;Fev;( - ) GASTOS COM PESSOAL;SALARIOS E ORDENADOS;-R$ 77.071
Em Mar, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 83.203 referente ao item 'SALARIOS E ORDENADOS'.;Mar;( - ) GASTOS COM PESSOAL;SALARIOS E ORDENADOS;-R$ 83.203
Em Set, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 93.279 referente ao item 'SALARIOS E ORDENADOS'.;Set;( - ) GASTOS COM PESSOAL;SALARIOS E ORDENADOS;-R$ 93.279
Em Mai, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 100.950 referente ao item 'SALARIOS E ORDENADOS'.;Mai;( - ) GASTOS COM PESSOAL;SALARIOS E ORDENADOS;-R$ 100.950
Em Jul, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 101.003 referente ao item 'SALARIOS E ORDENADOS'.;Jul;( - ) GASTOS COM PESSOAL;SALARIOS E ORDENADOS;-R$ 101.003
Em Jun, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 111.632 referente ao item 'SALARIOS E ORDENADOS'.;Jun;( - ) GASTOS COM PESSOAL;SALARIOS E ORDENADOS;-R$ 111.632
Em Out, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 113.451 referente ao item 'SALARIOS E ORDENADOS'.;Out;( - ) GASTOS COM PESSOAL;SALARIOS E ORDENADOS;-R$ 113.451
Em Abr, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 116.906 referente ao item 'SALARIOS E ORDENADOS'.;Abr;( - ) GASTOS COM PESSOAL;SALARIOS E ORDENADOS;-R$ 116.906
Em Nov, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 131.076 referente ao item 'SALARIOS E ORDENADOS'.;Nov;( - ) GASTOS COM PESSOAL;SALARIOS E ORDENADOS;-R$ 131.076
Em Dez, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 136.562 referente ao item 'SALARIOS E ORDENADOS'.;Dez;( - ) GASTOS COM PESSOAL;SALARIOS E ORDENADOS;-R$ 136.562
Em Jan, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 777 referente ao item 'FÉRIAS'.;Jan;( - ) GASTOS COM PESSOAL;FÉRIAS;-R$ 777
Em Jun, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 1.200 referente ao item 'FÉRIAS'.;Jun;( - ) GASTOS COM PESSOAL;FÉRIAS;-R$ 1.200
Em Out, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 2.205 referente ao item 'FÉRIAS'.;Out;( - ) GASTOS COM PESSOAL;FÉRIAS;-R$ 2.205
Em Abr, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 2.229 referente ao item 'FÉRIAS'.;Abr;( - ) GASTOS COM PESSOAL;FÉRIAS;-R$ 2.229
Em Set, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 2.269 referente ao item 'FÉRIAS'.;Set;( - ) GASTOS COM PESSOAL;FÉRIAS;-R$ 2.269
Em Nov, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 3.086 referente ao item 'FÉRIAS'.;Nov;( - ) GASTOS COM PESSOAL;FÉRIAS;-R$ 3.086
Em Mai, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 3.117 referente ao item 'FÉRIAS'.;Mai;( - ) GASTOS COM PESSOAL;FÉRIAS;-R$ 3.117
Em Jul, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 6.667 referente ao item 'FÉRIAS'.;Jul;( - ) GASTOS COM PESSOAL;FÉRIAS;-R$ 6.667
Em Ago, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 6.840 referente ao item 'FÉRIAS'.;Ago;( - ) GASTOS COM PESSOAL;FÉRIAS;-R$ 6.840
Em Mar, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 10.420 referente ao item 'FÉRIAS'.;Mar;( - ) GASTOS COM PESSOAL;FÉRIAS;-R$ 10.420
Em Nov, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 48.514 referente ao item 'DECIMO TERCEIRO SALÁRIO'.;Nov;( - ) GASTOS COM PESSOAL;DECIMO TERCEIRO SALÁRIO;-R$ 48.514
Em Dez, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 2.580 referente ao item 'RESCISÕES TRABALHISTAS'.;Dez;( - ) GASTOS COM PESSOAL;RESCISÕES TRABALHISTAS;-R$ 2.580
Em Abr, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 2.718 referente ao item 'RESCISÕES TRABALHISTAS'.;Abr;( - ) GASTOS COM PESSOAL;RESCISÕES TRABALHISTAS;-R$ 2.718
Em Jul, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 3.543 referente ao item 'RESCISÕES TRABALHISTAS'.;Jul;( - ) GASTOS COM PESSOAL;RESCISÕES TRABALHISTAS;-R$ 3.543
Em Out, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 3.941 referente ao item 'RESCISÕES TRABALHISTAS'.;Out;( - ) GASTOS COM PESSOAL;RESCISÕES TRABALHISTAS;-R$ 3.941
Em Set, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 5.627 referente ao item 'RESCISÕES TRABALHISTAS'.;Set;( - ) GASTOS COM PESSOAL;RESCISÕES TRABALHISTAS;-R$ 5.627
Em Ago, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 5.974 referente ao item 'RESCISÕES TRABALHISTAS'.;Ago;( - ) GASTOS COM PESSOAL;RESCISÕES TRABALHISTAS;-R$ 5.974
Em Fev, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 8.014 referente ao item 'RESCISÕES TRABALHISTAS'.;Fev;( - ) GASTOS COM PESSOAL;RESCISÕES TRABALHISTAS;-R$ 8.014
Em Jan, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 9.561 referente ao item 'RESCISÕES TRABALHISTAS'.;Jan;( - ) GASTOS COM PESSOAL;RESCISÕES TRABALHISTAS;-R$ 9.561
Em Mar, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 535 referente ao item 'IRPF S/ SALARIO'.;Mar;( - ) GASTOS COM PESSOAL;IRPF S/ SALARIO;-R$ 535
Em Mar, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 328 referente ao item 'HORAS EXTRAS'.;Mar;( - ) GASTOS COM PESSOAL;HORAS EXTRAS;-R$ 328
Em Set, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 817 referente ao item 'HORAS EXTRAS'.;Set;( - ) GASTOS COM PESSOAL;HORAS EXTRAS;-R$ 817
Em Fev, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 2.544 referente ao item 'HORAS EXTRAS'.;Fev;( - ) GASTOS COM PESSOAL;HORAS EXTRAS;-R$ 2.544
Em Jun, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 728 referente ao item 'GRATIFICAÇÕES E COMISSÕES'.;Jun;( - ) GASTOS COM PESSOAL;GRATIFICAÇÕES E COMISSÕES;-R$ 728
Em Dez, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 931 referente ao item 'GRATIFICAÇÕES E COMISSÕES'.;Dez;( - ) GASTOS COM PESSOAL;GRATIFICAÇÕES E COMISSÕES;-R$ 931
Em Out, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 1.084 referente ao item 'GRATIFICAÇÕES E COMISSÕES'.;Out;( - ) GASTOS COM PESSOAL;GRATIFICAÇÕES E COMISSÕES;-R$ 1.084
Em Nov, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 1.275 referente ao item 'GRATIFICAÇÕES E COMISSÕES'.;Nov;( - ) GASTOS COM PESSOAL;GRATIFICAÇÕES E COMISSÕES;-R$ 1.275
Em Abr, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 1.785 referente ao item 'GRATIFICAÇÕES E COMISSÕES'.;Abr;( - ) GASTOS COM PESSOAL;GRATIFICAÇÕES E COMISSÕES;-R$ 1.785
Em Set, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 2.700 referente ao item 'GRATIFICAÇÕES E COMISSÕES'.;Set;( - ) GASTOS COM PESSOAL;GRATIFICAÇÕES E COMISSÕES;-R$ 2.700
Em Ago, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 10.000 referente ao item 'INDENIZAÇÕES TRABALHISTAS'.;Ago;( - ) GASTOS COM PESSOAL;INDENIZAÇÕES TRABALHISTAS;-R$ 10.000
Em Jul, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 10.000 referente ao item 'INDENIZAÇÕES TRABALHISTAS'.;Jul;( - ) GASTOS COM PESSOAL;INDENIZAÇÕES TRABALHISTAS;-R$ 10.000
Em Set, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 10.000 referente ao item 'INDENIZAÇÕES TRABALHISTAS'.;Set;( - ) GASTOS COM PESSOAL;INDENIZAÇÕES TRABALHISTAS;-R$ 10.000
Em Nov, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 10.600 referente ao item 'INDENIZAÇÕES TRABALHISTAS'.;Nov;( - ) GASTOS COM PESSOAL;INDENIZAÇÕES TRABALHISTAS;-R$ 10.600
Em Out, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 16.907 referente ao item 'INDENIZAÇÕES TRABALHISTAS'.;Out;( - ) GASTOS COM PESSOAL;INDENIZAÇÕES TRABALHISTAS;-R$ 16.907
Em Jan, o grupo '( - ) SERVIÇOS DE TERCEIROS' registrou um valor de -R$ 236 referente ao item 'TREINAMENTOS E CAPACITAÇÕES'.;Jan;( - ) SERVIÇOS DE TERCEIROS;TREINAMENTOS E CAPACITAÇÕES;-R$ 236
Em Mar, o grupo '( - ) SERVIÇOS DE TERCEIROS' registrou um valor de -R$ 5.634 referente ao item 'TREINAMENTOS E CAPACITAÇÕES'.;Mar;( - ) SERVIÇOS DE TERCEIROS;TREINAMENTOS E CAPACITAÇÕES;-R$ 5.634
Em Abr, o grupo '( - ) SERVIÇOS DE TERCEIROS' registrou um valor de -R$ 6.333 referente ao item 'TREINAMENTOS E CAPACITAÇÕES'.;Abr;( - ) SERVIÇOS DE TERCEIROS;TREINAMENTOS E CAPACITAÇÕES;-R$ 6.333
Em Ago, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 54 referente ao item 'UNIFORME E EPI'.;Ago;( - ) GASTOS COM PESSOAL;UNIFORME E EPI;-R$ 54
Em Dez, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 110 referente ao item 'UNIFORME E EPI'.;Dez;( - ) GASTOS COM PESSOAL;UNIFORME E EPI;-R$ 110
Em Jul, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 348 referente ao item 'UNIFORME E EPI'.;Jul;( - ) GASTOS COM PESSOAL;UNIFORME E EPI;-R$ 348
Em Mai, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 500 referente ao item 'UNIFORME E EPI'.;Mai;( - ) GASTOS COM PESSOAL;UNIFORME E EPI;-R$ 500
Em Abr, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 1.230 referente ao item 'UNIFORME E EPI'.;Abr;( - ) GASTOS COM PESSOAL;UNIFORME E EPI;-R$ 1.230
Em Jan, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 3.903 referente ao item 'UNIFORME E EPI'.;Jan;( - ) GASTOS COM PESSOAL;UNIFORME E EPI;-R$ 3.903
Em Mar, o grupo '( - ) GASTOS COM PESSOAL' registrou um valor de -R$ 163 referente ao item 'VALE TRANSPORTE'.;Mar;( - ) GASTOS COM PESSOAL;VALE TRANSPORTE;-R$ 163
